"","user_id","brand_id","active_num","month_num","click_num","collect_num","cart_num","buy_num","click_buy_ratio","collect_buy_ratio","cart_buy_ratio"
"1",10000250,15534,1,1,1,0,0,0,0,0,0
"2",10000250,16331,1,1,1,0,0,0,0,0,0
"3",10000250,18231,1,1,1,0,0,0,0,0,0
"4",10000250,19974,4,1,3,0,0,1,0.333333333333333,0,0
"5",10000250,21788,2,1,2,0,0,0,0,0,0
"6",10000250,22756,1,1,1,0,0,0,0,0,0
"7",10000250,4578,1,1,1,0,0,0,0,0,0
"8",10000250,4761,1,1,1,0,0,0,0,0,0
"9",10000250,6929,1,1,1,0,0,0,0,0,0
"10",10000250,7059,1,1,1,0,0,0,0,0,0
"11",10000250,8094,1,1,1,0,0,0,0,0,0
"12",10000250,9563,3,1,2,1,0,0,0,0,0
"13",10018000,12220,1,1,1,0,0,0,0,0,0
"14",10018000,12447,11,2,11,0,0,0,0,0,0
"15",10018000,13313,1,1,1,0,0,0,0,0,0
"16",10018000,19015,1,1,0,1,0,0,0,0,0
"17",10018000,20343,5,1,4,1,0,0,0,0,0
"18",10018000,21929,3,1,3,0,0,0,0,0,0
"19",10018000,24844,1,1,1,0,0,0,0,0,0
"20",10018000,25252,2,1,1,1,0,0,0,0,0
"21",10018000,25804,1,1,1,0,0,0,0,0,0
"22",10018000,2655,2,1,2,0,0,0,0,0,0
"23",10018000,27739,1,1,1,0,0,0,0,0,0
"24",10018000,27791,8,1,6,2,0,0,0,0,0
"25",10018000,28437,1,1,1,0,0,0,0,0,0
"26",10018000,29076,1,1,1,0,0,0,0,0,0
"27",10018000,4538,1,1,1,0,0,0,0,0,0
"28",10018000,5685,2,1,2,0,0,0,0,0,0
"29",10018000,642,1,1,0,1,0,0,0,0,0
"30",10018000,7868,1,1,1,0,0,0,0,0,0
"31",10047250,12906,1,1,1,0,0,0,0,0,0
"32",10047250,13978,1,1,1,0,0,0,0,0,0
"33",10047250,1546,1,1,1,0,0,0,0,0,0
"34",10047250,15483,1,1,1,0,0,0,0,0,0
"35",10047250,21990,1,1,1,0,0,0,0,0,0
"36",10047250,23088,2,1,2,0,0,0,0,0,0
"37",10047250,25327,1,1,1,0,0,0,0,0,0
"38",10047250,25650,1,1,1,0,0,0,0,0,0
