19500 20551
38250 10051,14265
65500 21840,29202
69500 18730,10646,15315
83250 1731,7989,7624,21238,25753,8769,28885,6174
140500 3627,14625,18730,10480,23779
145750 11578
154500 8689,13830,5863
190500 20751
200250 25570
232000 21865
236000 18275,17690
239250 12647,28481
252500 6199,23656,18544
266500 9657
282500 1962
299750 24601
309750 15365,4545
371250 25596
380000 5620,14174,12329,1773
393250 20154,22306,13093
415500 23164
418500 15138
434750 4571,19394,6104,19973
439000 26404
448250 15911
452750 14796,15638,24392
472000 23584,3515,25333,6211
528250 8693,155,2963
563500 10778,23928
573000 19615,18868
599750 20297
620500 10646,934,21840
621500 6326
691500 6080,27912,28641,23013,29445,14498,14554,239,15390,8764
711500 26722
725000 20902,17835
731750 9195,7692
745750 21071,24869
746000 155,6571,21865,7105
764000 18990
776750 12717,26699
791500 23492,24831,10329,14712,21050,8738,20297,16606
799000 29099,3555,25839,24553
847750 21684,18024,12728,28169
848500 259,7286,23628
861750 23284
892500 10306
965500 26378
981000 14153,14020
1025250 13247
1063000 28481,24929,20551,530,22280,24196,14165,15019,22749
1074500 16602,12606
1074750 12220,22556
1086750 1084,18977,7868
1104500 18678
1110750 3458
1118250 19096,26665,10970,3068,14794
1140750 14261,6741,7868
1181250 8339
1189000 11328,23628,12175
1194750 25169,20551,679,4059,27052,7827,24669,6543,7400,5306
1240250 18392,20297
1244250 4324
1247000 25635
1319000 10449,599,5797
1324500 7868
1381000 29099
1446250 23482,20297
1459000 6147
1492500 24886
1517000 7208,15086,27205,4808,16302
1525000 11196,2257
1528500 26546,23774,28370
1531250 7026
1561250 21511,24307,22973,12352,17706
1579250 4078,25424
1617250 12283,5077,18002,19405
1620500 1195,28774,23735,5833
1622500 18771
1629250 21392,19891,24601,9120,18024,29099
1661750 9802,3324,1731,22342,14020,3151
1688750 12220,3145,7248
1699500 16716,24715
1710500 28065,14780
1727500 3228,4452
1758250 28481,3091,6571
1767500 14626
1782250 24460,155
1792000 16540,9301,23214,20630
1793250 2033
1806750 20701,26394
1812000 11196
1832000 10916,25687
1904750 9138,27314,23928
1906000 2438
1909250 20516,15992,6326,504,18180,10014,24645,23470
1911500 21815
1953250 6783,14020,23984,12394
1969000 12220
1971500 11000,22043,8316,7230
2033500 712,8689
2050000 11022,26866,18996,15231,17960,21659,5306,5620
2078000 7622,17752
2088000 21883,617,15019
2103250 4220,7567,25219,28855,11022
2138750 14120
2168250 7868
2182750 18808
2187500 23628
2198750 9250,13054
2200750 9315
2232500 11060,11000,679
2316250 9688,18180,10948
2331750 27179,8628,19539,7179
2378500 12886,2669,14795,19974,23774,26619
2386250 948,7061
2428500 17153
2448250 24669
2492500 20979
2688750 3181,1739,155,15721,22749,3774
2704750 13592
2752000 11679,27906,3032,26728,5667,22179,19405,14074,5043
2768250 23421
2771250 476,1494
2788750 11176,10702,18515,11431
2807500 11329,27117
2852250 11682,21706
2870250 17606,29363,8327,14020
2874500 3047,7868,28370
2891500 3627,8027
2920750 22400,23538
2940000 11272,11767
2968250 11624,16463,14273
3001000 21995
3009000 5627,12964,11000,17732,12327,21840,22393,8724,19014,28347,14695,15019,28411,7230
3010000 4220
3014750 18558,7868,2353
3031750 18131,16110,18388,12977,14020
3054250 5448
3089500 1917
3096750 11541,15315
3114000 21092,23928,20536
3148500 22126,7620,16217,12795,28561,4762
3188000 18025,16463,26618
3211250 11076
3216500 28992,2963
3226500 22240
3245250 23878
3249250 26394
3266750 5416
3282250 11857
3288250 6395
3293750 26523
3304500 4931,3804,25169,29099,8219,24461,17228
3310750 24083,23774,14952
3317500 7105
3344750 11022,27427,8805,1771,28524,3313
