"1",10000250,15534,1
"2",10000250,16331,1
"3",10000250,18231,1
"4",10000250,19974,4
"5",10000250,21788,2
"6",10000250,22756,1
"7",10000250,4578,1
"8",10000250,4761,1
"9",10000250,6929,1
"10",10000250,7059,1
"11",10000250,8094,1
"12",10000250,9563,3
"13",10018000,12220,1
"14",10018000,12447,4
"15",10018000,13313,1
"16",10018000,19015,1
"17",10018000,20343,5
"18",10018000,21929,3
"19",10018000,24844,1
"20",10018000,25252,2
"21",10018000,25804,1
"22",10018000,2655,2
"23",10018000,27739,1
"24",10018000,27791,6
"25",10018000,28437,1
"26",10018000,29076,1
"27",10018000,4538,1
"28",10018000,5685,2
"29",10018000,642,1
"30",10018000,7868,1
"31",10047250,12906,1
"32",10047250,13978,1
"33",10047250,1546,1
"34",10047250,15483,1
"35",10047250,21990,1
"36",10047250,23088,2
"37",10047250,25327,1
"38",10047250,25650,1
"39",10047250,3082,1
"40",10047250,4177,1
"41",10047250,559,2
"42",10047250,8976,3
"43",10047250,9685,1
"44",10052000,10655,1
"45",10052000,10893,4
"46",10052000,12610,5
"47",10052000,12754,5
"48",10052000,15,1
"49",10052000,15401,3
"50",10052000,1548,3
"51",10052000,16463,1
"52",10052000,16754,2
"53",10052000,20180,1
"54",10052000,21110,5
"55",10052000,22126,4
"56",10052000,22506,1
"57",10052000,22889,4
"58",10052000,25372,4
"59",10052000,360,1
"60",10052000,7680,5
"61",10054250,1079,5
"62",10054250,11687,1
"63",10054250,12606,1
"64",10054250,13067,1
"65",10054250,1325,1
"66",10054250,13547,1
"67",10054250,15401,1
"68",10054250,15773,3
"69",10054250,17535,1
"70",10054250,18180,1
"71",10054250,19837,1
"72",10054250,1993,2
"73",10054250,21098,4
"74",10054250,21110,1
"75",10054250,21372,1
"76",10054250,21632,1
"77",10054250,21975,1
"78",10054250,22889,1
"79",10054250,22958,2
"80",10054250,23267,1
"81",10054250,24963,1
"82",10054250,25917,1
"83",10054250,26258,4
"84",10054250,28276,1
"85",10054250,3077,1
"86",10054250,5474,1
"87",10054250,7680,1
"88",10054250,8214,1
"89",10057000,13206,1
"90",10057000,14919,1
"91",10057000,15498,1
"92",10057000,21110,1
"93",10057000,21186,2
"94",10057000,22447,5
"95",10057000,2274,1
"96",10057000,239,3
"97",10057000,27625,1
"98",10057000,3857,1
"99",10057000,6511,1
"100",10057000,8193,8
"101",10063000,11849,1
"102",10063000,15269,1
"103",10063000,18730,1
"104",10063000,18805,4
