"","user_id","brand_id","score"
"1",19500,143,1
"2",19500,949,2
"3",19500,2257,3
"4",19500,2610,1
"5",19500,2641,1
"6",19500,2655,1
"7",19500,3190,1
"8",19500,3650,1
"9",19500,3720,1
"10",19500,3926,1
"11",19500,4949,3
"12",19500,5086,3
"13",19500,5254,1
"14",19500,6148,3
"15",19500,6542,1
"16",19500,6621,1
"17",19500,7096,4
"18",19500,7868,1
"19",19500,7902,1
"20",19500,8261,1
"21",19500,8311,1
"22",19500,8737,1
"23",19500,8816,2
"24",19500,8850,1
"25",19500,9549,1
"26",19500,9975,1
"27",19500,10014,1
"28",19500,10726,1
"29",19500,11080,3
"30",19500,11176,3
"31",19500,11280,3
"32",19500,11329,1
"33",19500,11679,1
"34",19500,12055,1
"35",19500,12435,3
"36",19500,12754,1
"37",19500,13450,3
"38",19500,14020,1
"39",19500,14048,1
"40",19500,14261,1
"41",19500,14294,1
"42",19500,15162,1
"43",19500,15222,1
"44",19500,16077,1
"45",19500,16945,1
"46",19500,17572,1
"47",19500,18072,1
"48",19500,18353,1
"49",19500,18575,3
"50",19500,18630,2
"51",19500,18730,1
"52",19500,18886,1
"53",19500,19158,1
"54",19500,19421,5
"55",19500,19466,1
"56",19500,19573,3
"57",19500,20079,1
"58",19500,20823,1
"59",19500,21110,1
"60",19500,21400,3
"61",19500,21841,1
"62",19500,22384,1
"63",19500,22947,2
"64",19500,23662,1
"65",19500,25249,1
"66",19500,25424,2
"67",19500,25933,4
"68",19500,26737,1
"69",19500,27511,2
"70",19500,27927,1
"71",19500,27946,1
"72",19500,28230,3
"73",19500,28357,2
"74",19500,28453,1
"75",19500,28694,1
"76",19500,29084,1
"77",29750,12220,1
"78",38250,554,1
"79",38250,1188,1
"80",38250,1228,1
"81",38250,1969,1
"82",38250,2257,1
"83",38250,2470,1
"84",38250,2504,1
"85",38250,2610,1
"86",38250,2689,1
"87",38250,2694,1
"88",38250,3553,3
"89",38250,3647,1
"90",38250,3740,1
"91",38250,4411,1
"92",38250,4685,1
"93",38250,4949,1
"94",38250,4959,1
"95",38250,5721,1
"96",38250,5845,1
"97",38250,6096,1
"98",38250,6337,1
"99",38250,6591,1
"100",38250,7096,2
"101",38250,7654,1
"102",38250,8358,1
"103",38250,8717,1
"104",38250,8719,1
"105",38250,9111,1
"106",38250,9512,3
"107",38250,9657,1
"108",38250,10329,1
"109",38250,10840,1
"110",38250,11080,1
"111",38250,11176,1
"112",38250,11857,1
"113",38250,12259,1
"114",38250,12271,1
"115",38250,12331,1
"116",38250,12512,1
"117",38250,12990,1
"118",38250,13118,1
"119",38250,14265,1
"120",38250,14272,1
"121",38250,14585,3
"122",38250,15138,4
